"id","depo_org_id","drug_id","quantity","tarif","ppn","sub_total","tanggal"
1,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-06"
2,70,DRx0014992,1,373.0,41.0,373.0,"2024-05-02"
3,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-03"
4,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-02"
5,415,DRx0014992,4,373.0,0.0,1492.0,"2024-05-03"
6,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
7,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
8,415,DRx0014992,10,373.0,41.0,3730.0,"2024-05-05"
9,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-02"
10,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-03"
11,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-06"
12,401,DRx0014992,15,373.0,0.0,5595.0,"2024-05-05"
13,70,DRx0014992,10,373.0,0.0,3730.0,"2024-05-03"
14,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-05"
15,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-06"
16,70,DRx0014992,20,373.0,41.0,7460.0,"2024-05-04"
17,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-03"
18,109,DRx0014992,21,414.0,0.0,8694.0,"2024-05-02"
19,415,DRx0014992,15,373.0,41.0,5595.0,"2024-05-04"
20,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-07"
21,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-03"
22,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-04"
23,70,DRx0014992,10,373.0,41.0,3730.0,"2024-05-05"
24,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-04"
25,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
26,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-02"
27,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
28,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
29,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-05"
30,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-05"
31,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-06"
32,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-02"
33,70,DRx0014992,1,373.0,41.0,373.0,"2024-05-01"
34,109,DRx0014992,6,414.0,41.0,2484.0,"2024-05-07"
35,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-08"
36,401,DRx0014992,15,373.0,41.0,5595.0,"2024-05-05"
37,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-06"
38,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-06"
39,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-06"
40,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
41,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-06"
42,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-07"
43,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
44,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-02"
45,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-08"
46,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
47,70,DRx0014992,3,373.0,41.0,1119.0,"2024-05-05"
48,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-06"
49,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-07"
50,1,DRx0014992,1,373.0,0.0,373.0,"2024-05-05"
51,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-05"
